product_id,quantity,wholesale_cost,sale_price,supplier_id
2707BQ7X6EQI,3418,377.0,442.22,VCFXVKJQ
TUAHK61F2EWE,7462,375.7,549.27,OYIQXTGU
A5HH95K8TYH7,7495,402.08,570.15,IDTSLATK
Y86KNFFCKVAY,1208,135.08,187.9,VUPIBWMC
ML3RLRZC9A04,1634,116.04,220.36,ALPISKWD
A2NUABG8H177,1098,102.74,178.46,VNAUBIMF
MMS1D024B8DM,4112,398.08,601.5,LUVIKHIG
V7M7TLLGCFY9,4197,445.82,588.48,MRJAKYTF
FB9TOIV3QPC6,6353,395.42,628.72,OHQKTJPS
BR4E08W2DPF4,3269,414.2,564.55,QIJEYJNR
KQ949QR0RKOF,5812,411.49,709.0,PXNYWTPX
N98WRMDJ25N2,1863,116.04,219.78,SCNJUVFR
1ZX1NZKR1YK8,1807,117.64,145.99,NOKKJHIF
XUATJYQ3X2MX,4423,485.6,783.27,GZSKUPRR
03M45Y98STF4,5308,420.99,754.84,KDXPSEPZ
7RYZ0G2UXPW1,5404,380.92,629.28,PUSEAHDI
WZAFPXHYWBQI,3956,443.03,685.37,MRJAKYTF
BELGGBQNWVI6,3218,434.71,522.96,IDTSLATK
AOKOE3NBWDTM,1512,135.08,227.2,LSZQNTOO
U83P3XNFVU88,6603,311.8,491.71,ZOQGODSQ
VM6ADUWFW6NP,7168,361.5,604.79,IDTSLATK
IK9N86VJ9ROL,5496,434.71,612.07,IJHLHXKN
9RKREWPK23AT,3336,415.55,460.01,WUYUBNMD
J72IJF9KVRXV,3305,459.87,618.99,OYIQXTGU
0E1KTMKTQM0V,3762,436.09,759.23,IDTSLATK
BJQ65TA2PUZW,2728,118.45,211.43,UNDKILTU
R6NO4HK3C4ZP,4923,407.45,662.11,IDTSLATK
K26FRTRLFV3C,5591,337.51,429.65,MTFFNYXN
I32XA099ZB4H,1124,119.26,166.25,CBSKJIQI
X8ZEK7FVOFWB,1592,136.79,188.09,BZFDBMID
DNCCU05EPLVR,1581,129.16,157.45,SZQROLOF
7NCZFWS6TWJT,1473,127.48,191.35,MTFFNYXN
J1SEIN0GZXDY,5689,469.81,588.2,IJJIIIVH
DEVI5RL2B0BF,5120,438.86,597.29,QQWFFXLL
8YIE9X3FWMIL,4858,358.94,426.06,LUVIKHIG
WMNE3X2P4SVU,1632,124.17,210.22,RJVOUJCT
0ODBHB6R1AQ6,3385,391.44,485.39,SMGBRLRY
WPQDFFNN5FJJ,5686,441.64,657.16,VUPIBWMC
FKIRB7N7YYQ8,6587,402.08,695.6,DJVDYUAU
EYKY0FHAICO9,2390,124.99,231.23,ALPISKWD
NLQK0ZFIY7XP,7280,433.33,572.0,MRJAKYTF
9AC2OBT9SMDC,3172,410.14,459.36,JPSKHNZQ
6R7BIBOCJOLB,1236,96.71,115.86,PXNYWTPX
B8GSOTDLDT7V,2021,122.52,143.23,IDTSLATK
4HATRUNW06LQ,539,35.22,43.36,OJPJLVWV
3IELD13LECID,4457,457.04,804.39,VCFXVKJQ
PUICZBHKNDPL,2530,120.89,159.45,GZSKUPRR
1U6X1UP3X80Z,4269,388.8,729.39,IJHLHXKN
J3NECGJYKC1U,3485,406.1,739.91,OJPJLVWV
ABEM48WIPNLA,6899,429.2,741.66,MRJAKYTF
V30DTGZQ72EL,2098,132.53,246.11,VCFXVKJQ
6QPP17T8VD3P,2811,119.26,219.2,SCNJUVFR
B9BUR5OHJHUM,1518,113.64,127.5,SMGBRLRY
1IMI944WOF3R,3174,391.44,547.62,ACUGYYCR
BGDZ6H2LY5W2,612,27.29,51.14,LZAGUZZM
NASVGOLALNRZ,6919,434.71,726.4,KDXPSEPZ
O937YYT2NVYS,1194,99.7,144.07,VUPIBWMC
KCDMU1ZL7JZC,5425,353.85,479.47,CUPAMHHF
1Y86Y40VHS6I,5719,370.51,580.96,MTFFNYXN
9TOAOGX66WND,5464,434.71,749.44,LUVIKHIG
YTZN5HLJW6GW,606,39.75,57.32,NOKKJHIF
1ICU350PPT6K,3486,410.14,480.27,VNAUBIMF
KV8GBEUVGGVX,4561,436.09,571.71,ODSKZBBP
Y0CR48L4X7IZ,4037,410.14,574.61,FOOARRMY
4RDGFDFWD103,7222,416.91,560.74,LYZVAUXB
2Z78W8DDCHNQ,6704,391.44,701.46,ALPISKWD
Y0DOTNEVNYR8,5115,399.41,626.27,VUPIBWMC
8C1ZKERM07NK,3338,415.55,735.94,FLXUVLWD
RZ2UKM4SBPIX,2635,124.17,201.03,PXNYWTPX
CJDR9TN7DM3A,4056,412.84,737.33,PUSEAHDI
1MAJQNSBH9PQ,6279,377.0,463.33,JHYQAPFL
DK8YSBO2PV6X,5175,396.75,582.43,TIJFWNLU
WBA1O536N916,1971,119.26,190.1,VCFXVKJQ
F2P89HPJQKXE,2965,125.82,181.56,ACUGYYCR
GQCN65HA38VE,208,8.81,11.64,OJPJLVWV
I77BGPJ1N1FS,479,31.39,37.57,VUPIBWMC
9ZDDXNNRU8IU,3020,419.63,768.76,WNPVEYAW
JT0ERZA1PSV2,3653,407.45,543.54,TNBGXNKC
CSBNMAKQX7NT,6559,423.72,772.44,LSZQNTOO
Z789KF7CQ0TN,7062,411.49,476.09,OYIQXTGU
7KT3EMRUHQCD,6489,390.12,701.05,JUTEJFAR
MF8JJ20J3WNW,5862,412.84,476.0,XUBNCBUO
IJ5P6GEB0UAB,942,33.76,51.15,OJPJLVWV
3R5BVEZWWH8D,2149,118.45,154.34,OHQKTJPS
CYDCQX6ZCX4E,3817,370.51,638.39,JHYQAPFL
1JKA1S6QFHJ8,4075,383.54,540.02,REFSVATM
HDMCPWXGERYQ,7358,411.49,636.99,MOICPPVT
U6FJRT6TXP24,2196,129.16,153.96,TNBGXNKC
KDJM6JWX8E1M,4757,448.62,826.81,LSZQNTOO
DW4UB8NW0JOL,1880,124.17,218.91,ACUGYYCR
DCZO5CKG726S,7368,404.76,736.66,EBBKIVVU
DOIAUKDS78QD,3268,429.2,755.82,BUOPLBCJ
1ETD9TPJT9PH,5411,362.78,486.85,IJHLHXKN
S7NW7L3TFB7Q,5767,452.82,574.63,ALPISKWD
P7USK0JQ1VEH,2092,135.08,206.54,DJVDYUAU
Z0D9EGDQW4FZ,5610,434.71,767.7,BUNCEFOX
DUJMBZE1MVXR,7497,369.22,420.91,SCNJUVFR
57KM5EPO9EX1,2659,109.69,124.39,WNPVEYAW
0A7L4XP4YM0S,4198,410.14,691.5,OHQKTJPS
ZW2FRA214BTR,3389,411.49,598.72,UEULUNWM
EH94I3XNXIJA,6724,392.76,469.74,LZAGUZZM
XU0SPL0NV1QY,6280,388.8,487.17,MOICPPVT
CJ4FCA1DQP2R,3627,384.85,516.08,SCNJUVFR
SA21W4WZ4WA5,6639,353.85,418.25,WNPVEYAW
9HCMDNDHAPK0,6392,398.08,574.03,IDTSLATK
NF86YHOQOAQ1,7369,375.7,587.97,XHTQUBBH
Y4Y1572OXX5Z,254,10.84,16.13,OHQKTJPS
PGLJY1GT4NDV,6570,438.86,506.88,OJPJLVWV
NFKAFPDAT84L,471,40.27,63.22,SCNJUVFR
7CFACV1R2Q7V,2161,132.53,165.13,EBBKIVVU
TGPP3IK3CTHX,1876,132.53,191.9,MAJZPZCE
VD0OL42LYESC,5020,373.1,416.38,MOICPPVT
X6WBSQPFKQCY,328,17.19,26.04,NOKKJHIF
IKDK7KDM8DMH,263,10.24,12.84,VNAUBIMF
YQD5LYQ5CIKJ,5391,411.49,561.27,FHIMGLEY
3SMS4UQXWOPE,3768,416.91,718.75,OHQKTJPS
P5LNVVGQ0BD1,1367,116.84,199.8,ZOQGODSQ
6CCWKXBQFLYS,2357,135.93,207.02,ACUGYYCR
44W4GRLWE5N2,7131,366.64,420.17,IDTSLATK
77O49E00QKGO,3614,418.27,684.29,IJHLHXKN
7OJWPWQKB3XI,4120,375.7,636.06,BZFDBMID
RUS62LMWF7BR,1243,102.74,128.94,OBUHDMHG
JSBI92HQBEG9,4432,434.71,660.76,GZSKUPRR
LICD90742JGJ,1401,122.52,208.16,CUPAMHHF
CGZRAK44006U,1322,115.23,199.23,MRJAKYTF
NUKBJQECIN8R,598,41.84,67.61,LYZVAUXB
40VLOLW42KFA,4286,365.35,656.17,SZQROLOF
VIAKIHXVK0H7,3764,454.23,801.72,QQWFFXLL
